"filename", "language", "JSON", "Markdown", "CSS", "JavaScript JSX", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\package-lock.json", "JSON", 18712, 0, 0, 0, 0, 0, 0, 0, 1, 18713
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\public\index.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 10, 1, 43
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\App.css", "CSS", 0, 0, 50, 0, 0, 0, 0, 4, 10, 64
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 143, 0, 0, 11, 154
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\assets\dataHardcodeoAccountType.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 18
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\assets\dataHardcodeoCategorias.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\assets\dataHardcodeoCompras.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\assets\dataHardcodeoCuentas.js", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 0, 1, 75
